name,from,to,units
X011,0,2.4,clay1
X011,2.4,9.2,gravel
X012,0,2,clay1
X012,2,10,tufa
X012,10,10.8,clay2
X012,10.8,14,gravel
X013,0,0.8,clay1
X013,0.8,9.6,tufa
X013,9.6,10.7,clay2
X013,10.7,12,gravel
X014,0,2.3,clay1
X014,2.3,4.5,tufa
X014,4.5,12,clay2
X014,12,14,gravel
X015,0,2.3,clay1
X015,2.3,9.95,tufa
X015,10.3,14,gravel
X017,0,2,clay1
X017,2,8.6,tufa
X017,8.6,9.5,clay2
X017,9.5,12,gravel
X018,0,10,clay1
X018,10,11.75,gravel
X018,11.75,12,marge
X019,0,1.5,clay1
X019,1.5,4.55,tufa
X019,4.55,8.1,clay2
X019,8.1,14,gravel
X020,0,2.1,clay1
X020,2.1,9,tufa
X020,9,10.85,clay2
X020,10.85,13.65,gravel
X020,13.65,14,marge
X022,0,1.7,clay1
X022,1.7,9,tufa
X022,9,10.65,clay2
X022,10.65,14,gravel
X024,0,1.9,clay1
X024,1.9,9,tufa
X024,9,10.65,clay2
X024,10.65,14,gravel
X030,0,2,clay1
X030,2,8.8,tufa
X030,8.8,10,clay2
X030,10,16.5,gravel
X037,0,2.5,clay1
X037,2.5,8.2,tufa
X037,8.2,9.4,clay2
X037,8.2,12.5,gravel
